soulcap_abbreviation	soulcap_full_name	gap_type	description	related_cl_ids	evidence	status	repo_issue	date_logged
NK	Natural Killer Cell	cl_axiom_gap	CL:0000623 asserts only negative exclusion markers (CD14-/CD19-/CD3-/CD20-); the field-standard defining positive marker CD56 is absent from its own axioms, though present on its child terms.	CL:0000623	reports/cl_pro_relationships.md; reports/literature/nk_cell_markers.md; reports/cl_term_issues.md#natural-killer-cell-missing-cd56-marker-axiom--cl0000623	open	(not yet filed)	2026-07-22
NK1 / NK3	Natural Killer Cell 1 / Natural Killer Cell 3	cl_axiom_gap	CL:0000939 (CD16-positive, CD56-dim NK cell, human) does not distinguish CD57-negative (NK1) from CD57-positive (NK3) substates; both SOULCAP rows currently map to the same CL term at Broad match type.	CL:0000939	reports/candidate_cl_mappings_narrative.md#ctnk--nk1--nk3--cytotoxic-natural-killer-cell-cd16-positive	open	(not yet filed)	2026-07-22
ILC1	Innate Lymphoid Cell 1	cl_axiom_gap	No human-specific "group 1 innate lymphoid cell" CL term exists, unlike group 2 (CL:0001081) and group 3 (CL:0001078); confirmed by direct OLS4 search returning zero hits for the human-qualified query.	CL:0001067	reports/cl_term_issues.md#missing-human-specific-group-1-innate-lymphoid-cell-term	filed_as_issue	https://github.com/Cellular-Semantics/SOULCAP_CL_Mapping/issues/14	2026-07-23
Transitional	Transitional B cell	no_reasonable_cl_match	SOULCAP row has all four marker columns (Required/Ideal exclusion, Required/Ideal phenotypic markers) completely empty in the master sheet — there is no marker definition to match against at all, so no CL candidate can be derived from markers. Distinct from the more specific "T3" (Transitional B cell 3) row, which does have marker data.	(none)	reports/candidate_cl_mappings_batch.tsv (note column); data/marker_combinations.csv	open	(not yet filed)	2026-07-24
CTNK	Cytotoxic Natural Killer Cell	sheet_data_issue	Sheet's Full Name reads "Cytotoxice Natural Killer Cell" (typo, extra trailing "e"); this broke batch lexical search entirely for the row (zero OLS4 hits). Marker-based match was unaffected. Cannot be fixed in this repo — requires a correction in the Google Sheet master.	CL:0000939	reports/candidate_cl_mappings_narrative.md#dc-family--dendritic-cells	open	(not yet filed)	2026-07-22
pDC	Peripheral Dendritic Cell (as written)	sheet_data_issue	Sheet's Full Name reads "Peripheral Dendritic Cell," but the row's markers (CD123hi, CD303+, low CD33) are the textbook definition of plasmacytoid dendritic cells — likely a wrong word, should probably read "Plasmacytoid." This broke batch lexical search (returned an unrelated "migratory dendritic cell" hit). Cannot be fixed in this repo — requires a correction in the Google Sheet master.	CL:0001058	reports/candidate_cl_mappings_narrative.md#dc-family--dendritic-cells	open	(not yet filed)	2026-07-22
Mono	Monocyte	cl_axiom_gap	CL:0000576 (plain "monocyte") has zero marker axiom rows in cl_pro_relationships.tsv — same parent-class axiom-gap pattern as NK/ILC/cDC/B cell. Match is lexical-only (OAK-verified), not marker-confirmed.	CL:0000576	reports/candidate_cl_mappings_narrative.md#monocyte-family; reports/cl_pro_relationships.tsv	open	(not yet filed)	2026-07-24
CMo / NCMo / IntMo	Classical / Non-classical / Intermediate Monocyte	cl_axiom_gap	CL:0000860/CL:0000875/CL:0002393 assert only CCR2 (CD192) and CX3CR1 status plus lineage negatives — none assert the CD14/CD16 axioms that actually define these three subsets per Ziegler-Heitbrock et al. 2010 (PMID:20628149). Already covered by repo issue #12 (filed upstream as CL#3665) — not a new gap, cited here for context on why these rows can only be matched lexically.	CL:0000860; CL:0000875; CL:0002393	reports/candidate_cl_mappings_narrative.md#monocyte-family; https://github.com/Cellular-Semantics/SOULCAP_CL_Mapping/issues/12	filed_as_issue	https://github.com/Cellular-Semantics/SOULCAP_CL_Mapping/issues/12	2026-07-24
Mono / CMo / NCMo / IntMo	Monocyte family	sheet_data_issue	Required exclusion column reads "CD56- CD19- ([CD123hi]- CD303-) ([CD123hi|CD193-)" for all four rows — the second group is missing a "]" after CD123hi (likely should read "([CD123hi]-|CD193-)", matching the cDC/pDC pattern). Cannot be fixed in this repo — requires a correction in the Google Sheet master.	(none)	reports/candidate_cl_mappings_narrative.md#monocyte-family; data/marker_combinations.csv	open	(not yet filed)	2026-07-24
B cell	B cell	cl_axiom_gap	CL:0000236 (plain "B cell") has zero marker axiom rows in cl_pro_relationships.tsv — same parent-class axiom-gap pattern as NK/ILC/cDC/monocyte. Match is lexical-only (OAK-verified after OLS4 REST search returned zero hits for this exact query), not marker-confirmed.	CL:0000236	reports/candidate_cl_mappings_narrative.md#b-cell-parent; reports/cl_pro_relationships.tsv	open	(not yet filed)	2026-07-24
BDN1 / BDN2 / BDN3 / BDN4	Double Negative B cell 1-4	cl_axiom_gap	SOULCAP defines four "double negative" B cell subsets (DN1-4, the atypical/age-associated B cell scheme from the autoimmunity/aging literature) via CD21/CD11c/CD185/IgE combinations. CL has only the general parent CL:0000981 "double negative memory B cell" with no DN1-4 subtyping; direct searches for "DN1 B cell" through "DN4 B cell" and "atypical memory B cell" returned zero CL hits. All four SOULCAP rows currently collapse to the same Broad match.	CL:0000981	reports/candidate_cl_mappings_narrative.md#b-cell-maturation-tree--transitional--mature--naive--double-negative	open	(not yet filed)	2026-07-24
IgD only	IgD only Memory B cell	cl_axiom_gap	SOULCAP distinguishes IgD+IgM- ("IgD only") from IgD+IgM+ ("Unswitched") memory B cells as two separate populations. No CL term exists for the IgD+IgM- subset — direct searches for "IgD-positive memory B cell" and "IgD only memory B cell" returned zero hits; the only IgD-related term found, CL:0001053 "IgD-negative memory B cell," is the opposite polarity. Left unmapped rather than forced onto a wrong-polarity term.	CL:0001053 (wrong polarity, not used)	reports/candidate_cl_mappings_narrative.md#memory-b-cell-tree	open	(not yet filed)	2026-07-24
CD4+ T cell / CD8+ T cell / CD4+/CD8+ T cell / CD4-/CD8- T cell / CD4+/CD8+ TCRab T cell / CD4-/CD8- TCRab T cell / CD4+ TCRgd T cell / CD8+ TCRgd T cell / CD4+/CD8+ TCRgd	various	cl_axiom_gap	CL organizes CD4/CD8 status primarily under the alpha-beta T cell lineage: no combined alpha-beta+gamma-delta CD4/CD8 terms exist, no clean double-positive alpha-beta term exists, and the only double-negative term found (CL:0002489) is a thymocyte-stage term (wrong tissue for a blood/PBMC panel). All 9 rows Broad-matched to the nearest alpha-beta or gamma-delta parent with this gap noted.	CL:0000624; CL:0000625; CL:0000789; CL:0000084; CL:0000798	reports/candidate_cl_mappings_narrative.md#combined-lineage-b-and-double-positivedouble-negative-gaps	open	(not yet filed)	2026-07-24
CD56+ T cell family (13 rows)	various CD56+ T cell subsets	cl_axiom_gap	SOULCAP crosses CD56 positivity with CD4/CD8/DP/DN status and TCRab/TCRgd lineage (13 variants); CL has only one term at this level (CL:4052055, pending rename to "CD56-positive T cell, human" per issue #13) with no further subdivision. All 13 rows Broad-match to CL:4052055.	CL:4052055	reports/candidate_cl_mappings_narrative.md#cd56-t-cell-family; https://github.com/Cellular-Semantics/SOULCAP_CL_Mapping/issues/13	open	(not yet filed)	2026-07-24
Tcm / Tem / Temra (general, no CD4/CD8 split) and all TCRgd-specific Tnaive/Tcm/Tem/Temra rows	various	cl_axiom_gap	CL has no generic central/effector memory T cell term spanning both CD4 and CD8 (only CD4-specific and CD8-specific versions exist), and no gamma-delta-specific differentiation-state terms at all. ~13 rows Broad-matched to the nearest available parent (CL:0000084 T cell, or CL:0000798 gamma-delta T cell) with this gap noted.	CL:0000084; CL:0000798	reports/candidate_cl_mappings_narrative.md#naive--central-memory--effector-memory--temra-tree	open	(not yet filed)	2026-07-24
CD8+ Temra / CD8+ TCRab Temra	CD8+ CD45RA+ effector memory T cell	cl_axiom_gap	CL:4030002 (effector memory CD45RA-positive, alpha-beta T cell, terminally differentiated) appears to be CD4-specific only; no CD8+ counterpart with the same "terminally differentiated" qualifier was found — only the non-TEMRA-specific CL:0000913 (effector memory CD8-positive, alpha-beta T cell). Possible asymmetry in CL's own hierarchy; needs a second look before concluding it's a genuine omission rather than differently-named.	CL:4030002; CL:0000913	reports/candidate_cl_mappings_narrative.md#naive--central-memory--effector-memory--temra-tree	open	(not yet filed)	2026-07-24
(26 rows, various abbreviations)	(no Full Name in sheet)	sheet_data_issue	26 rows in the T cell branch have a completely empty Full Name field, so no name-based match can be attempted (Conv TCRab family, T helper, T cytotoxic, Tfh, CD4 PanT helper/Treg, ConT Treg-like/Tfh-like, Th1/2/9/17-like, Vg9/Vd1/Vd2/Vd3 subsets). Additionally, Th1-like/Th2-like/Th9-like/Th17-like each appear TWICE in the sheet: one copy (parented under "CD4 ConT") has iNKT-style TCRVa24-Ja18/CD1d-a-GalCer markers that look copy-pasted from an unrelated row; the other (no parent) has the correct Th-subset chemokine receptor panel (CD183/CD185/CD194/CD196). Likely a genuine sheet data bug, not two intentional variants. Cannot be fixed here — requires correction in the Google Sheet master.	CL:0000912 (T helper, once named); CL:0000910 (T cytotoxic, once named)	reports/candidate_cl_mappings_narrative.md#rows-with-no-full-name-in-the-sheet--not-mapped	open	(not yet filed)	2026-07-24
